Varints,Mode,SerTime,DeserTime,CompTime,DecompTime,ProtoRatio,CompRatio
50 varints,1 byte,199.054,194.804,1396.53,1010.17,1.35758,1.64706
50 varints,2 bytes,163.503,180.698,1353.61,1012.63,1.21081,1.31765
50 varints,3 bytes,228.621,395.593,1363.14,1095.65,0.817518,1.00448
50 varints,4 bytes,194.608,393.845,1373.32,1095.15,0.785965,0.99115
50 varints,random,199.89,394.873,1365.66,1088.77,0.791519,1
50 varints,uni,155.704,292.573,1354.93,1052.56,1.00448,1.14286
100 varints,1 byte,280.077,576.114,1455.57,1103.91,1.28485,1.62452
100 varints,2 bytes,272.866,534.571,1462.53,1128.65,1.1013,1.32915
100 varints,3 bytes,469.857,883.13,1471.56,1314.73,0.741259,0.986046
100 varints,4 bytes,418.861,894.077,1486.85,1315.14,0.724786,0.981481
100 varints,random,402.767,907.729,1457.5,1317.79,0.726027,0.981481
100 varints,uni,313.845,744.968,1465.61,1228.61,0.905983,1.10705
200 varints,1 byte,611.106,1086.48,1689.59,1307.68,1.20821,1.62525
200 varints,2 bytes,610.899,991.573,1687.15,1347.48,1.04968,1.39189
200 varints,3 bytes,978.458,1764.09,1662.85,1708.39,0.704876,0.972845
200 varints,4 bytes,986.092,1780.17,1660.58,1712.03,0.695359,0.973995
200 varints,random,976.282,1786.01,1660.43,1714.24,0.698897,0.969412
200 varints,uni,749.356,1423.06,1656.89,1534.42,0.856549,1.12262
